Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,166.029999,169.399994,166.029999,168.600006,11200,168.600006
2016-10-28,166.550003,167.50,166.050003,166.50,23000,166.50
2016-10-27,167.899994,169.00,166.199997,166.300003,12700,166.300003
2016-10-26,166.00,167.800003,165.800003,167.449997,17700,167.449997
2016-10-25,165.449997,166.649994,164.419998,166.25,13400,166.25
2016-10-24,165.649994,166.600006,164.699997,165.800003,13300,165.800003
2016-10-21,163.25,164.800003,163.00,164.300003,17500,164.300003
2016-10-20,166.00,166.00,164.050003,164.50,26000,164.50
2016-10-19,166.399994,166.399994,164.759995,165.800003,8800,165.800003
2016-10-18,166.75,166.75,165.25,165.649994,24600,165.649994
2016-10-17,167.199997,167.199997,165.600006,165.949997,24800,165.949997
2016-10-14,165.990005,167.210007,165.130005,167.009995,14900,167.009995
2016-10-13,167.00,167.199997,165.00,165.289993,26800,165.289993
2016-10-12,167.00,168.619995,166.550003,167.360001,45400,167.360001
2016-10-11,168.220001,168.740005,165.580002,166.990005,32400,166.990005
2016-10-10,167.300003,170.75,166.960007,168.690002,39300,168.690002
2016-10-07,165.130005,167.149994,164.899994,166.149994,51800,166.149994
2016-10-06,162.990005,165.949997,162.119995,165.919998,28300,165.919998
2016-10-05,163.520004,165.449997,162.149994,163.00,28300,163.00
2016-10-04,163.100006,164.880005,161.009995,163.740005,17400,163.740005
2016-10-03,163.350006,164.699997,161.009995,163.00,15100,163.00
2016-09-30,161.860001,165.050003,161.470001,164.470001,18800,164.470001
2016-09-29,163.759995,163.759995,160.809998,161.570007,11500,161.570007
2016-09-28,163.179993,165.690002,162.139999,164.320007,13600,164.320007
2016-09-27,160.779999,164.00,160.419998,163.270004,14300,163.270004
2016-09-26,161.160004,161.470001,160.199997,160.919998,18100,160.919998
2016-09-23,165.610001,165.800003,162.460007,162.850006,24100,162.850006
2016-09-22,164.479996,166.770004,164.110001,166.589996,18200,166.589996
2016-09-21,160.350006,164.00,160.160004,163.25,41300,163.25
2016-09-20,160.699997,160.699997,159.899994,160.080002,7300,160.080002
2016-09-19,160.119995,162.970001,159.520004,159.699997,23500,159.699997
2016-09-16,160.729996,160.729996,159.009995,159.949997,65800,159.949997
2016-09-15,159.550003,160.449997,159.190002,160.139999,11200,160.139999
2016-09-14,160.110001,160.820007,159.00,159.559998,22500,159.559998
2016-09-13,162.020004,162.850006,159.559998,160.009995,21000,160.009995
2016-09-12,159.550003,163.940002,159.550003,163.080002,19900,163.080002
2016-09-09,163.119995,163.119995,160.220001,160.440002,19300,160.440002
2016-09-08,165.50,167.139999,163.899994,164.449997,13900,164.449997
2016-09-07,164.619995,165.979996,164.190002,165.779999,18600,165.779999
2016-09-06,165.860001,165.919998,163.720001,164.809998,24700,164.809998
2016-09-02,166.910004,167.479996,164.660004,166.130005,13800,166.130005
2016-09-01,166.820007,167.25,165.130005,166.119995,16400,166.119995
2016-08-31,166.320007,168.630005,165.779999,166.589996,21400,166.589996
2016-08-30,164.429993,168.919998,164.059998,166.089996,21900,166.089996
2016-08-29,164.229996,165.759995,163.860001,164.520004,13100,164.520004
2016-08-26,165.679993,165.679993,163.130005,164.059998,8600,164.059998
2016-08-25,162.559998,165.720001,162.559998,163.990005,15800,163.990005
2016-08-24,164.789993,164.850006,162.539993,162.559998,14400,162.559998
2016-08-23,163.110001,164.020004,162.25,164.00,20900,164.00
2016-08-22,160.75,162.440002,160.160004,162.440002,8200,162.440002
2016-08-19,162.929993,162.929993,160.080002,161.860001,26100,161.860001
2016-08-18,161.710007,162.639999,160.830002,162.639999,10500,162.639999
2016-08-17,164.520004,164.520004,161.50,162.669998,31800,162.669998
2016-08-16,164.029999,165.449997,163.820007,164.160004,15300,164.160004
2016-08-15,164.490005,166.389999,163.600006,165.009995,13700,165.009995
2016-08-12,165.380005,166.490005,163.460007,164.880005,17900,164.880005
2016-08-11,166.619995,166.869995,164.929993,165.990005,14800,165.990005
2016-08-10,168.699997,168.699997,165.050003,166.410004,20700,166.410004
2016-08-09,167.600006,168.880005,166.360001,167.610001,31500,167.610001
2016-08-08,167.770004,168.970001,166.979996,168.509995,41600,168.509995
2016-08-05,166.839996,169.919998,166.259995,168.630005,22800,168.630005
2016-08-04,167.440002,169.330002,165.419998,167.080002,22800,167.080002
2016-08-03,166.300003,168.149994,165.440002,167.740005,14400,167.740005
2016-08-02,167.429993,167.880005,165.50,166.009995,18400,166.009995
2016-08-01,167.190002,169.039993,166.559998,167.309998,16200,167.309998
2016-07-29,167.889999,168.300003,165.919998,166.589996,31600,166.589996
2016-07-28,168.570007,169.710007,167.100006,168.949997,19000,168.949997
2016-07-27,166.589996,169.940002,166.589996,169.440002,16300,169.440002
2016-07-26,166.600006,170.00,165.860001,167.800003,13700,167.800003
2016-07-25,167.809998,168.740005,166.279999,168.00,11900,168.00
2016-07-22,164.460007,168.860001,162.889999,167.809998,16400,167.809998
2016-07-21,166.330002,167.779999,164.800003,166.050003,29700,166.050003
2016-07-20,167.75,168.529999,167.009995,167.080002,16900,167.080002
2016-07-19,168.860001,168.860001,166.330002,167.009995,36400,167.009995
2016-07-18,170.550003,171.660004,168.929993,169.020004,24300,169.020004
2016-07-15,169.889999,170.940002,168.479996,170.699997,40600,170.699997
2016-07-14,167.690002,169.580002,167.289993,168.50,21500,168.50
2016-07-13,165.119995,168.029999,164.320007,165.990005,27900,165.990005
2016-07-12,164.25,167.339996,163.00,164.520004,40700,164.520004
2016-07-11,161.899994,164.479996,161.070007,162.860001,34700,162.860001
2016-07-08,160.690002,162.00,157.320007,161.729996,54100,161.729996
2016-07-07,158.830002,160.779999,158.139999,159.399994,26000,159.399994
2016-07-06,159.039993,159.949997,157.649994,159.210007,26100,159.210007
2016-07-05,159.00,160.059998,158.210007,159.779999,25700,159.779999
2016-07-01,161.699997,162.929993,157.699997,159.199997,31600,159.199997
2016-06-30,158.320007,162.080002,157.320007,161.990005,31500,161.990005
2016-06-29,155.399994,158.399994,153.990005,157.679993,38400,157.679993
2016-06-28,152.009995,155.770004,151.539993,153.940002,40900,153.940002
2016-06-27,151.300003,152.240005,148.910004,151.309998,44300,151.309998
2016-06-24,153.25,155.699997,150.020004,152.470001,281900,152.470001
2016-06-23,156.399994,157.149994,153.660004,156.960007,28700,156.960007
2016-06-22,156.759995,158.860001,154.360001,155.470001,34800,155.470001
2016-06-21,153.759995,156.889999,153.440002,156.820007,38500,156.820007
2016-06-20,154.830002,155.990005,154.130005,154.899994,31000,154.899994
2016-06-17,153.380005,157.720001,153.149994,153.149994,146900,153.149994
2016-06-16,154.240005,156.199997,153.00,155.690002,24000,155.690002
2016-06-15,156.050003,156.889999,154.320007,154.419998,30000,154.419998
2016-06-14,156.440002,157.270004,155.440002,156.210007,35200,156.210007
2016-06-13,155.050003,157.50,154.110001,156.220001,54300,156.220001
2016-06-10,154.520004,155.910004,154.029999,154.610001,20000,154.610001
2016-06-09,156.00,156.820007,154.160004,155.059998,27800,155.059998
2016-06-08,156.399994,156.399994,151.50,155.520004,18500,155.520004
2016-06-07,155.300003,155.809998,153.029999,155.399994,24700,155.399994
2016-06-06,153.380005,156.199997,150.110001,155.00,26200,155.00
2016-06-03,155.149994,156.830002,153.919998,154.339996,22200,154.339996
2016-06-02,155.339996,156.50,155.179993,155.399994,24100,155.399994
2016-06-01,155.339996,156.779999,155.100006,156.669998,25500,156.669998
2016-05-31,156.839996,156.850006,155.00,155.869995,19400,155.869995
2016-05-27,155.779999,157.320007,155.160004,157.240005,14400,157.240005
2016-05-26,156.800003,156.800003,154.800003,155.220001,10200,155.220001
2016-05-25,155.860001,157.399994,154.869995,156.389999,24400,156.389999
2016-05-24,154.50,156.580002,154.50,155.720001,29900,155.720001
2016-05-23,154.979996,155.889999,152.910004,153.380005,23200,153.380005
2016-05-20,155.080002,159.940002,154.360001,155.789993,26100,155.789993
2016-05-19,155.699997,155.699997,152.539993,154.169998,30200,154.169998
2016-05-18,154.160004,156.630005,154.160004,156.339996,11100,156.339996
2016-05-17,157.539993,157.539993,154.00,154.240005,26200,154.240005
2016-05-16,156.809998,158.270004,156.449997,157.100006,16600,157.100006
2016-05-13,156.910004,161.539993,155.029999,156.199997,18300,156.199997
2016-05-12,156.630005,158.300003,156.139999,157.199997,19300,157.199997
2016-05-11,158.639999,161.110001,156.50,156.710007,18800,156.710007
2016-05-10,158.910004,159.399994,157.839996,158.610001,18200,158.610001
2016-05-09,159.270004,159.869995,157.850006,158.119995,9200,158.119995
2016-05-06,158.240005,158.690002,157.240005,158.460007,17500,158.460007
2016-05-05,158.160004,160.929993,158.160004,158.899994,14800,158.899994
2016-05-04,157.770004,159.910004,157.309998,158.729996,21700,158.729996
2016-05-03,160.660004,161.50,158.160004,158.460007,20100,158.460007
2016-05-02,158.419998,161.190002,158.419998,160.649994,16900,160.649994
2016-04-29,158.50,159.470001,156.789993,158.440002,34300,158.440002
2016-04-28,160.320007,160.320007,158.009995,158.399994,20900,158.399994
2016-04-27,161.160004,161.460007,160.149994,160.429993,26900,160.429993
2016-04-26,159.119995,162.470001,159.119995,161.779999,34700,161.779999
2016-04-25,160.410004,160.800003,159.00,159.240005,22500,159.240005
2016-04-22,159.630005,161.720001,159.630005,160.990005,27500,160.990005
2016-04-21,163.220001,163.220001,159.300003,159.360001,20400,159.360001
2016-04-20,162.380005,163.130005,159.850006,162.800003,9000,162.800003
2016-04-19,161.240005,162.490005,158.919998,161.940002,14500,161.940002
2016-04-18,161.00,162.179993,159.320007,162.039993,35400,162.039993
2016-04-15,162.210007,162.389999,159.860001,161.869995,42000,161.869995
2016-04-14,164.059998,164.139999,161.919998,162.949997,28300,162.949997
2016-04-13,160.660004,163.490005,159.350006,163.490005,35400,163.490005
2016-04-12,159.039993,161.300003,158.259995,160.910004,25800,160.910004
2016-04-11,159.720001,159.779999,158.119995,159.300003,18300,159.300003
2016-04-08,159.020004,159.960007,158.089996,159.220001,18900,159.220001
2016-04-07,159.449997,160.800003,158.50,159.339996,33700,159.339996
2016-04-06,160.559998,161.690002,159.300003,160.940002,21800,160.940002
2016-04-05,161.979996,164.559998,160.839996,161.399994,25000,161.399994
2016-04-04,164.679993,164.679993,162.130005,162.360001,21700,162.360001
2016-04-01,161.589996,164.910004,161.589996,164.869995,21400,164.869995
2016-03-31,162.610001,163.789993,160.720001,162.580002,30000,162.580002
2016-03-30,162.330002,163.520004,161.850006,163.009995,19600,163.009995
2016-03-29,158.220001,162.649994,157.350006,162.630005,23400,162.630005
2016-03-28,156.770004,158.740005,156.770004,157.399994,30100,157.399994
2016-03-24,157.449997,157.449997,155.740005,156.070007,21200,156.070007
2016-03-23,157.75,158.039993,156.960007,157.639999,25600,157.639999
2016-03-22,157.669998,158.50,157.130005,158.020004,22800,158.020004
2016-03-21,159.119995,160.839996,158.449997,159.110001,30500,159.110001
2016-03-18,161.440002,161.839996,158.330002,158.820007,64100,158.820007
2016-03-17,160.350006,162.830002,160.350006,162.339996,31200,162.339996
2016-03-16,161.429993,162.589996,161.050003,161.429993,16200,161.429993
2016-03-15,163.300003,163.429993,161.309998,161.990005,19900,161.990005
